Probe Set ID	Gene Title	Entrez Gene ID	Ensembl
210034_s_at	ribosomal protein L5	6125	ENSG00000122406 /// OTTHUMG00000010899
210037_s_at	nitric oxide synthase 2, inducible	4843	ENSG00000007171 /// OTTHUMG00000132445
210068_s_at	aquaporin 4	361	ENSG00000171885 /// OTTHUMG00000131955
210070_s_at	CHKB-CPT1B readthrough (NMD candidate) /// carnitine palmitoyltransferase 1B (muscle)	1375 /// 386593	ENSG00000205560 /// OTTHUMG00000137390 /// OTTHUMG00000166282
210095_s_at	insulin like growth factor binding protein 3	3486	ENSG00000146674 /// OTTHUMG00000023769
210100_s_at	ATP binding cassette subfamily A member 2	20	ENSG00000107331 /// OTTHUMG00000020958
210119_at	potassium channel, inwardly rectifying subfamily J, member 15	3772	ENSG00000157551 /// OTTHUMG00000090609
210130_s_at	transmembrane 7 superfamily member 2	7108	ENSG00000149809 /// OTTHUMG00000165603
210137_s_at	dCMP deaminase	1635	ENSG00000129187 /// OTTHUMG00000160685
210152_at	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4	11006	ENSG00000186818 /// ENSG00000275730 /// ENSG00000276042 /// ENSG00000278279 /// ENSG00000278555
210165_at	deoxyribonuclease I	1773	ENSG00000213918 /// OTTHUMG00000129426
210185_at	calcium channel, voltage-dependent, beta 1 subunit	782	ENSG00000067191 /// OTTHUMG00000133217
210192_at	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	10396	ENSG00000124406 /// OTTHUMG00000099403
210202_s_at	bridging integrator 1	274	ENSG00000136717 /// OTTHUMG00000131465
210216_x_at	RAD1 checkpoint DNA exonuclease	5810	ENSG00000113456 /// OTTHUMG00000090783
210222_s_at	reticulon 1	6252	ENSG00000139970 /// OTTHUMG00000028947
210223_s_at	major histocompatibility complex, class I-related	3140	ENSG00000153029 /// OTTHUMG00000035175
210225_x_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3	10288 /// 11025 /// 79168 /// 102725015 /// 102725029 /// 102725031 /// 102725034 /// 102725035	ENSG00000204577 /// ENSG00000244482 /// ENSG00000274148 /// ENSG00000274587 /// ENSG00000275019 /// ENSG00000275539 /// ENSG00000275584 /// ENSG00000277177 /// ENSG00000277816 /// OTTHUMG00000066626 /// OTTHUMG00000149828 /// OTTHUMG00000151022 /// OTTHUMG00000189032
210249_s_at	nuclear receptor coactivator 1	8648	ENSG00000084676 /// OTTHUMG00000125523
210257_x_at	cullin 4B	8450	ENSG00000158290 /// OTTHUMG00000022302
210286_s_at	solute carrier family 4, sodium bicarbonate cotransporter, member 7	9497	ENSG00000033867 /// OTTHUMG00000155679
210291_s_at	zinc finger protein 174	7727	ENSG00000103343 /// OTTHUMG00000129358
210322_x_at	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	7404	ENSG00000183878 /// OTTHUMG00000036319
210338_s_at	heat shock 70kDa protein 8	3312	ENSG00000109971 /// OTTHUMG00000166030
210353_s_at	solute carrier family 6 (neurotransmitter transporter), member 2	6530	ENSG00000103546 /// OTTHUMG00000133208
210362_x_at	promyelocytic leukemia	5371	ENSG00000140464 /// OTTHUMG00000137607
210374_x_at	prostaglandin E receptor 3 (subtype EP3)	5733	ENSG00000050628 /// OTTHUMG00000009399
210413_x_at	serpin peptidase inhibitor, clade B (ovalbumin), member 3 /// serpin peptidase inhibitor, clade B (ovalbumin), member 4	6317 /// 6318	ENSG00000057149 /// ENSG00000206073 /// OTTHUMG00000060405
210417_s_at	phosphatidylinositol 4-kinase, catalytic, beta	5298	ENSG00000143393 /// OTTHUMG00000012348
210426_x_at	RAR-related orphan receptor A	6095	ENSG00000069667 /// OTTHUMG00000132769
210427_x_at	annexin A2	302	ENSG00000182718 /// OTTHUMG00000132763
210448_s_at	purinergic receptor P2X, ligand gated ion channel, 5	5026	ENSG00000083454 /// OTTHUMG00000090700
210449_x_at	mitogen-activated protein kinase 14	1432	ENSG00000112062 /// OTTHUMG00000159806
210463_x_at	tRNA methyltransferase 1	55621	ENSG00000104907 /// OTTHUMG00000180730
210479_s_at	RAR-related orphan receptor A	6095	ENSG00000069667 /// OTTHUMG00000132769
210497_x_at	synovial sarcoma, X breakpoint 2 /// synovial sarcoma, X breakpoint 2B	6757 /// 727837	ENSG00000241476 /// ENSG00000268447 /// OTTHUMG00000021593 /// OTTHUMG00000022697
210544_s_at	aldehyde dehydrogenase 3 family, member A2	224	ENSG00000072210 /// OTTHUMG00000059471
210551_s_at	acetylserotonin O-methyltransferase	438	ENSG00000196433 /// OTTHUMG00000021065
210555_s_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	4775	ENSG00000072736 /// OTTHUMG00000137555
210585_s_at	transportin 2	30000	ENSG00000105576 /// OTTHUMG00000180333
210629_x_at	leukocyte specific transcript 1	7940	ENSG00000204482 /// ENSG00000206433 /// ENSG00000223465 /// ENSG00000226182 /// ENSG00000230791 /// ENSG00000231048 /// ENSG00000234514 /// ENSG00000235915 /// OTTHUMG00000031264 /// OTTHUMG00000031562 /// OTTHUMG00000040404 /// OTTHUMG00000148785 /// OTTHUMG00000148999 /// OTTHUMG00000149282 /// OTTHUMG00000149513 /// OTTHUMG00000149937
210639_s_at	autophagy related 5	9474	ENSG00000057663 /// OTTHUMG00000016193
210644_s_at	leukocyte-associated immunoglobulin-like receptor 1	3903	ENSG00000167613 /// ENSG00000274110 /// ENSG00000276053 /// ENSG00000276163 /// ENSG00000278154 /// OTTHUMG00000065545 /// OTTHUMG00000140345 /// OTTHUMG00000151161 /// OTTHUMG00000152599 /// OTTHUMG00000189078
210655_s_at	forkhead box O3 /// forkhead box O3B pseudogene	2309 /// 2310	ENSG00000118689 /// OTTHUMG00000015327 /// OTTHUMG00000059047
210667_s_at	chromosome 21 open reading frame 33 /// ES1 protein homolog, mitochondrial	8209 /// 102724023	ENSG00000160221 /// ENSG00000280071 /// OTTHUMG00000086916
210674_s_at	protocadherin alpha 1 /// protocadherin alpha 10 /// protocadherin alpha 11 /// protocadherin alpha 12 /// protocadherin alpha 13 /// protocadherin alpha 2 /// protocadherin alpha 3 /// protocadherin alpha 4 /// protocadherin alpha 5 /// protocadherin alpha 6 /// protocadherin alpha 7 /// protocadherin alpha 8 /// protocadherin alpha 9 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha subfamily C, 2	9752 /// 56134 /// 56135 /// 56136 /// 56137 /// 56138 /// 56139 /// 56140 /// 56141 /// 56142 /// 56143 /// 56144 /// 56145 /// 56146 /// 56147	ENSG00000081842 /// ENSG00000204961 /// ENSG00000204962 /// ENSG00000204963 /// ENSG00000204965 /// ENSG00000204967 /// ENSG00000204969 /// ENSG00000204970 /// ENSG00000239389 /// ENSG00000243232 /// ENSG00000248383 /// ENSG00000249158 /// ENSG00000250120 /// ENSG00000251664 /// ENSG00000255408 /// OTTHUMG00000129603 /// OTTHUMG00000129607 /// OTTHUMG00000129614 /// OTTHUMG00000163353 /// OTTHUMG00000163354 /// OTTHUMG00000163357 /// OTTHUMG00000163360 /// OTTHUMG00000163363 /// OTTHUMG00000163366 /// OTTHUMG00000163367 /// OTTHUMG00000163368 /// OTTHUMG00000163369 /// OTTHUMG00000163371 /// OTTHUMG00000163372 /// OTTHUMG00000163373
210730_s_at	neuropeptide Y receptor Y2	4887	ENSG00000185149 /// OTTHUMG00000161485
210744_s_at	interleukin 5 receptor, alpha	3568	ENSG00000091181
210764_s_at	cysteine-rich, angiogenic inducer, 61	3491	ENSG00000142871 /// OTTHUMG00000010577
210766_s_at	CSE1 chromosome segregation 1-like (yeast)	1434	ENSG00000124207 /// OTTHUMG00000033046
210782_x_at	glutamate receptor, ionotropic, N-methyl D-aspartate 1	2902	ENSG00000176884 /// OTTHUMG00000020976
210786_s_at	Fli-1 proto-oncogene, ETS transcription factor	2313	ENSG00000151702 /// OTTHUMG00000165792
210807_s_at	solute carrier family 16 (monocarboxylate transporter), member 7	9194	ENSG00000118596 /// OTTHUMG00000169923
210809_s_at	periostin, osteoblast specific factor	10631	ENSG00000133110 /// OTTHUMG00000016751
210820_x_at	coenzyme Q7 homolog, ubiquinone (yeast)	10229	ENSG00000167186 /// OTTHUMG00000131455
210831_s_at	prostaglandin E receptor 3 (subtype EP3)	5733	ENSG00000050628 /// OTTHUMG00000009399
210852_s_at	aminoadipate-semialdehyde synthase	10157	ENSG00000008311 /// OTTHUMG00000157058
210858_x_at	ATM serine/threonine kinase	472	ENSG00000149311 /// OTTHUMG00000166480
210875_s_at	zinc finger E-box binding homeobox 1	6935	ENSG00000148516 /// OTTHUMG00000017907
210890_x_at	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1 /// killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2 /// killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3 /// killer cell immunoglobulin-like receptor 2DL2	3802 /// 3803 /// 3804 /// 105379645	ENSG00000125498 /// ENSG00000273510 /// ENSG00000273794 /// ENSG00000274412 /// ENSG00000274692 /// ENSG00000274782 /// ENSG00000274926 /// ENSG00000275080 /// ENSG00000275196 /// ENSG00000275276 /// ENSG00000275407 /// ENSG00000275522 /// ENSG00000275546 /// ENSG00000275750 /// ENSG00000275914 /// ENSG00000275960 /// ENSG00000276011 /// ENSG00000276310 /// ENSG00000276625 /// ENSG00000276731 /// ENSG00000276820 /// ENSG00000277251 /// ENSG00000277356 /// ENSG00000277484 /// ENSG00000277616 /// ENSG00000277725 /// ENSG00000277833 /// ENSG00000278207 /// ENSG00000278248 /// ENSG00000278495 /// ENSG00000278503 /// ENSG00000278738 /// ENSG00000278755 /// ENSG00000278805 /// ENSG00000278821 /// OTTHUMG00000065885 /// OTTHUMG00000140232 /// OTTHUMG00000151579 /// OTTHUMG00000151599 /// OTTHUMG00000152912 /// OTTHUMG00000152967 /// OTTHUMG00000188652 /// OTTHUMG00000188699 /// OTTHUMG00000188724 /// OTTHUMG00000188732 /// OTTHUMG00000188739 /// OTTHUMG00000188743 /// OTTHUMG00000188753 /// OTTHUMG00000188759 /// OTTHUMG00000188771 /// OTTHUMG00000188779 /// OTTHUMG00000188792 /// OTTHUMG00000188796 /// OTTHUMG00000188801 /// OTTHUMG00000188805 /// OTTHUMG00000188821 /// OTTHUMG00000188831 /// OTTHUMG00000188847 /// OTTHUMG00000188855 /// OTTHUMG00000188866 /// OTTHUMG00000188879 /// OTTHUMG00000188904 /// OTTHUMG00000188915 /// OTTHUMG00000188924 /// OTTHUMG00000188933 /// OTTHUMG00000188946 /// OTTHUMG00000188963 /// OTTHUMG00000188973 /// OTTHUMG00000188977 /// OTTHUMG00000189001 /// OTTHUMG00000189009 /// OTTHUMG00000189049
210942_s_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	10402	ENSG00000064225 /// OTTHUMG00000159047
210951_x_at	RAB27A, member RAS oncogene family	5873	ENSG00000069974 /// OTTHUMG00000131959
210976_s_at	phosphofructokinase, muscle	5213	ENSG00000152556 /// OTTHUMG00000169898
210986_s_at	tropomyosin 1 (alpha)	7168	ENSG00000140416 /// OTTHUMG00000132803
210987_x_at	tropomyosin 1 (alpha)	7168	ENSG00000140416 /// OTTHUMG00000132803
210998_s_at	hepatocyte growth factor (hepapoietin A; scatter factor)	3082	ENSG00000019991 /// OTTHUMG00000023804
211019_s_at	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	4047	ENSG00000160285 /// ENSG00000281289 /// OTTHUMG00000090633 /// OTTHUMG00000189937
211023_at	pyruvate dehydrogenase (lipoamide) beta	5162	ENSG00000168291 /// OTTHUMG00000159157
211026_s_at	monoglyceride lipase	11343	ENSG00000074416 /// OTTHUMG00000159641
211045_s_at	potassium channel, voltage gated eag related subfamily H, member 6	81033	ENSG00000173826 /// OTTHUMG00000178901
211065_x_at	phosphofructokinase, liver	5211	ENSG00000141959 /// OTTHUMG00000086910
211078_s_at	serine/threonine kinase 3	6788	ENSG00000104375 /// OTTHUMG00000164651
211089_s_at	NIMA-related kinase 3	4752	ENSG00000136098 /// OTTHUMG00000016958
211090_s_at	pre-mRNA processing factor 4B	8899	ENSG00000112739 /// OTTHUMG00000014157
211107_s_at	aurora kinase C	6795	ENSG00000105146 /// OTTHUMG00000183106
211135_x_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3 /// leukocyte immunoglobulin-like receptor subfamily B member 3	10288 /// 11025 /// 79168 /// 102725015 /// 102725029 /// 102725031 /// 102725034 /// 102725035	ENSG00000204577 /// ENSG00000244482 /// ENSG00000274148 /// ENSG00000274587 /// ENSG00000275019 /// ENSG00000275539 /// ENSG00000275584 /// ENSG00000277177 /// ENSG00000277816 /// OTTHUMG00000066626 /// OTTHUMG00000149828 /// OTTHUMG00000151022 /// OTTHUMG00000189032
211159_s_at	protein phosphatase 2, regulatory subunit B', delta	5528	ENSG00000112640 /// OTTHUMG00000014716
211180_x_at	uncharacterized LOC100506403 /// runt-related transcription factor 1	861 /// 100506403	ENSG00000159216 /// OTTHUMG00000086299
211194_s_at	tumor protein p63	8626	ENSG00000073282 /// OTTHUMG00000156313
211195_s_at	tumor protein p63	8626	ENSG00000073282 /// OTTHUMG00000156313
211207_s_at	acyl-CoA synthetase long-chain family member 6	23305	ENSG00000164398 /// OTTHUMG00000150692
211275_s_at	glycogenin 1	2992	ENSG00000163754 /// OTTHUMG00000159533
211289_x_at	cyclin-dependent kinase 11A /// cyclin-dependent kinase 11B	984 /// 728642	ENSG00000008128 /// ENSG00000248333 /// OTTHUMG00000000703 /// OTTHUMG00000078638
211302_s_at	phosphodiesterase 4B, cAMP-specific	5142	ENSG00000184588 /// OTTHUMG00000009088
211312_s_at	WNT1 inducible signaling pathway protein 1	8840	ENSG00000104415 /// OTTHUMG00000164440
211316_x_at	CASP8 and FADD like apoptosis regulator	8837	ENSG00000003402 /// OTTHUMG00000132819
211323_s_at	inositol 1,4,5-trisphosphate receptor, type 1	3708	ENSG00000150995 /// OTTHUMG00000154996
211329_x_at	hemochromatosis	3077	ENSG00000010704 /// OTTHUMG00000016348
211330_s_at	hemochromatosis	3077	ENSG00000010704 /// OTTHUMG00000016348
211362_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 13	5275	ENSG00000197641 /// OTTHUMG00000060406
211401_s_at	fibroblast growth factor receptor 2	2263	ENSG00000066468 /// OTTHUMG00000019175
211447_s_at	phosphodiesterase 4A, cAMP-specific	5141	ENSG00000065989 /// OTTHUMG00000180411
211450_s_at	mutS homolog 6	2956	ENSG00000116062 /// OTTHUMG00000129129
211458_s_at	GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3, pseudogene	23710 /// 23766	ENSG00000139112 /// OTTHUMG00000168411
211483_x_at	calcium/calmodulin-dependent protein kinase II beta	816	ENSG00000058404 /// OTTHUMG00000023491
211486_s_at	potassium channel, voltage gated KQT-like subfamily Q, member 2	3785	ENSG00000075043 /// OTTHUMG00000033049
211501_s_at	eukaryotic translation initiation factor 3, subunit B	8662	ENSG00000106263 /// OTTHUMG00000022839
211510_s_at	corticotropin releasing hormone receptor 2	1395	ENSG00000106113 /// OTTHUMG00000023218
211517_s_at	interleukin 5 receptor, alpha	3568	ENSG00000091181
211518_s_at	bone morphogenetic protein 4	652	ENSG00000125378 /// OTTHUMG00000140303
211519_s_at	kinesin family member 2C	11004	ENSG00000142945 /// OTTHUMG00000008416
211520_s_at	glutamate receptor, ionotropic, AMPA 1	2890	ENSG00000155511
211527_x_at	vascular endothelial growth factor A	7422	ENSG00000112715 /// OTTHUMG00000014745
211532_x_at	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2	100132285	ENSG00000221957 /// ENSG00000273526 /// ENSG00000273603 /// ENSG00000274438 /// ENSG00000274518 /// ENSG00000274533 /// ENSG00000274921 /// ENSG00000274957 /// ENSG00000275253 /// ENSG00000275306 /// ENSG00000275353 /// ENSG00000275452 /// ENSG00000275583 /// ENSG00000275731 /// ENSG00000275735 /// ENSG00000275737 /// ENSG00000275921 /// ENSG00000276139 /// ENSG00000276154 /// ENSG00000276327 /// ENSG00000276387 /// ENSG00000276395 /// ENSG00000276634 /// ENSG00000276885 /// ENSG00000277078 /// ENSG00000278300 /// ENSG00000278304 /// OTTHUMG00000065932 /// OTTHUMG00000149820 /// OTTHUMG00000151033 /// OTTHUMG00000151075 /// OTTHUMG00000151577 /// OTTHUMG00000151578 /// OTTHUMG00000152573 /// OTTHUMG00000152906 /// OTTHUMG00000188655 /// OTTHUMG00000188703 /// OTTHUMG00000188718 /// OTTHUMG00000188725 /// OTTHUMG00000188744 /// OTTHUMG00000188764 /// OTTHUMG00000188786 /// OTTHUMG00000188797 /// OTTHUMG00000188811 /// OTTHUMG00000188815 /// OTTHUMG00000188827 /// OTTHUMG00000188848 /// OTTHUMG00000188860 /// OTTHUMG00000188875 /// OTTHUMG00000188900 /// OTTHUMG00000188920 /// OTTHUMG00000188945 /// OTTHUMG00000188964
211536_x_at	mitogen-activated protein kinase kinase kinase 7	6885	ENSG00000135341 /// OTTHUMG00000015217
211537_x_at	mitogen-activated protein kinase kinase kinase 7	6885	ENSG00000135341 /// OTTHUMG00000015217
211553_x_at	apoptotic peptidase activating factor 1	317	ENSG00000120868 /// OTTHUMG00000170214
211554_s_at	apoptotic peptidase activating factor 1	317	ENSG00000120868 /// OTTHUMG00000170214
211557_x_at	solute carrier organic anion transporter family, member 2B1	11309	ENSG00000137491 /// OTTHUMG00000165420
211571_s_at	versican	1462	ENSG00000038427 /// OTTHUMG00000131321
211575_s_at	ubiquitin protein ligase E3A	7337	ENSG00000114062 /// OTTHUMG00000171548
211576_s_at	solute carrier family 19 (folate transporter), member 1	6573	ENSG00000173638 /// OTTHUMG00000090397
211580_s_at	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)	8503	ENSG00000117461 /// ENSG00000278139 /// OTTHUMG00000008096
211593_s_at	microtubule associated serine/threonine kinase 2	23139	ENSG00000086015 /// OTTHUMG00000008007
211611_s_at	activating transcription factor 6 beta /// tenascin XB	1388 /// 7148	ENSG00000168468 /// ENSG00000206258 /// ENSG00000213676 /// ENSG00000228628 /// ENSG00000231608 /// ENSG00000233323 /// ENSG00000234539 /// OTTHUMG00000031296 /// OTTHUMG00000031358 /// OTTHUMG00000031594 /// OTTHUMG00000149118 /// OTTHUMG00000149127 /// OTTHUMG00000149634 /// OTTHUMG00000149643
211613_s_at	glycerol-3-phosphate dehydrogenase 2	2820	ENSG00000115159 /// OTTHUMG00000131951
211623_s_at	fibrillarin	2091	ENSG00000105202 /// ENSG00000280548 /// OTTHUMG00000182581
211624_s_at	dopamine receptor D2	1813	ENSG00000149295 /// OTTHUMG00000167717
211661_x_at	platelet-activating factor receptor	5724	ENSG00000169403 /// OTTHUMG00000003953
211668_s_at	plasminogen activator, urokinase	5328	ENSG00000122861 /// OTTHUMG00000018494
211671_s_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2908	ENSG00000113580 /// OTTHUMG00000129677
211687_x_at	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	3811	ENSG00000167633 /// ENSG00000273518 /// ENSG00000273775 /// ENSG00000274036 /// ENSG00000274146 /// ENSG00000274920 /// ENSG00000274948 /// ENSG00000275288 /// ENSG00000275486 /// ENSG00000275545 /// ENSG00000275717 /// ENSG00000275786 /// ENSG00000276329 /// ENSG00000276423 /// ENSG00000276501 /// ENSG00000277175 /// ENSG00000277272 /// ENSG00000278079 /// ENSG00000278368 /// ENSG00000278427 /// ENSG00000278856 /// OTTHUMG00000065933 /// OTTHUMG00000149823 /// OTTHUMG00000188654 /// OTTHUMG00000188702 /// OTTHUMG00000188729 /// OTTHUMG00000188737 /// OTTHUMG00000188757 /// OTTHUMG00000188768 /// OTTHUMG00000188782 /// OTTHUMG00000188852 /// OTTHUMG00000188861 /// OTTHUMG00000188869 /// OTTHUMG00000188876 /// OTTHUMG00000188901 /// OTTHUMG00000188921 /// OTTHUMG00000188930 /// OTTHUMG00000188949 /// OTTHUMG00000188960 /// OTTHUMG00000188970 /// OTTHUMG00000189006 /// OTTHUMG00000189052
211725_s_at	BH3 interacting domain death agonist	637	ENSG00000015475
211746_x_at	proteasome subunit alpha 1	5682	ENSG00000129084 /// OTTHUMG00000165825
211751_at	phosphodiesterase 4D interacting protein-like /// phosphodiesterase 4D interacting protein-like /// phosphodiesterase 4D interacting protein	9659 /// 653513 /// 100996724	ENSG00000178104 /// OTTHUMG00000013846
211752_s_at	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	374291	ENSG00000115286 /// OTTHUMG00000168077
211772_x_at	cholinergic receptor, nicotinic alpha 3	1136	ENSG00000080644
211787_s_at	eukaryotic translation initiation factor 4A1 /// SENP3-EIF4A1 readthrough (NMD candidate)	1973 /// 100533955	ENSG00000161960 /// OTTHUMG00000108149 /// OTTHUMG00000178334
211806_s_at	potassium channel, inwardly rectifying subfamily J, member 15	3772	ENSG00000157551 /// OTTHUMG00000090609
211819_s_at	sorbin and SH3 domain containing 1	10580	ENSG00000095637 /// OTTHUMG00000018812
211827_s_at	potassium channel, voltage gated Shal related subfamily D, member 3	3752	ENSG00000171385 /// OTTHUMG00000011989
211834_s_at	tumor protein p63	8626	ENSG00000073282 /// OTTHUMG00000156313
211842_s_at	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	9187	ENSG00000074621 /// OTTHUMG00000167960
211855_s_at	solute carrier family 25 (mitochondrial carrier, brain), member 14	9016	ENSG00000102078 /// OTTHUMG00000022394
211858_x_at	GNAS complex locus	2778	ENSG00000087460 /// OTTHUMG00000033069
211901_s_at	phosphodiesterase 4A, cAMP-specific	5141	ENSG00000065989 /// OTTHUMG00000180411
211905_s_at	integrin beta 4	3691	ENSG00000132470 /// OTTHUMG00000179814
211906_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 4	6318	ENSG00000057149 /// ENSG00000206073 /// OTTHUMG00000060405
211955_at	importin 5	3843	ENSG00000065150 /// OTTHUMG00000017244
211983_x_at	actin gamma 1	71	ENSG00000184009 /// OTTHUMG00000177955
212067_s_at	complement component 1, r subcomponent	715	ENSG00000159403 /// OTTHUMG00000168149
212081_x_at	proline-rich coiled-coil 2A	7916	ENSG00000204469 /// ENSG00000206427 /// ENSG00000225164 /// ENSG00000225748 /// ENSG00000226618 /// ENSG00000231370 /// ENSG00000231825 /// OTTHUMG00000004895 /// OTTHUMG00000031168 /// OTTHUMG00000031450 /// OTTHUMG00000065679 /// OTTHUMG00000149000 /// OTTHUMG00000149283 /// OTTHUMG00000149514
212143_s_at	insulin like growth factor binding protein 3	3486	ENSG00000146674 /// OTTHUMG00000023769
212167_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	6598	ENSG00000099956 /// ENSG00000275837 /// OTTHUMG00000150737 /// OTTHUMG00000190063
212186_at	acetyl-CoA carboxylase alpha	31	ENSG00000275176 /// ENSG00000278540 /// OTTHUMG00000188463 /// OTTHUMG00000191242
212215_at	prolyl endopeptidase-like	9581	ENSG00000138078 /// OTTHUMG00000152791
212240_s_at	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	5295	ENSG00000145675 /// OTTHUMG00000131251
212255_s_at	ATPase, Ca++ transporting, type 2C, member 1	27032	ENSG00000017260 /// OTTHUMG00000136802
212266_s_at	serine/arginine-rich splicing factor 5	6430	ENSG00000100650 /// OTTHUMG00000171235
212278_x_at	ubiquitin protein ligase E3A	7337	ENSG00000114062 /// OTTHUMG00000171548
212320_at	tubulin, beta class I	203068	ENSG00000183311 /// ENSG00000196230 /// ENSG00000224156 /// ENSG00000227739 /// ENSG00000229684 /// ENSG00000232421 /// ENSG00000232575 /// ENSG00000235067 /// OTTHUMG00000004838 /// OTTHUMG00000031059 /// OTTHUMG00000031329 /// OTTHUMG00000133718 /// OTTHUMG00000148754 /// OTTHUMG00000148943 /// OTTHUMG00000149222 /// OTTHUMG00000149458
212330_at	transcription factor Dp-1	7027	ENSG00000198176 /// OTTHUMG00000017388
212383_at	ATPase, H+ transporting, lysosomal V0 subunit a1	535	ENSG00000033627 /// OTTHUMG00000180238
212394_at	ER membrane protein complex subunit 1	23065	ENSG00000127463 /// OTTHUMG00000002497
212443_at	neurobeachin like 2	23218	ENSG00000160796 /// OTTHUMG00000156497
212470_at	sperm associated antigen 9	9043	ENSG00000008294 /// OTTHUMG00000162316
212486_s_at	FYN proto-oncogene, Src family tyrosine kinase	2534	ENSG00000010810 /// OTTHUMG00000016305
212514_x_at	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked	1654	ENSG00000215301 /// OTTHUMG00000021369
212521_s_at	phosphodiesterase 8A	5151	ENSG00000073417 /// OTTHUMG00000148670
212659_s_at	interleukin 1 receptor antagonist	3557	ENSG00000136689 /// OTTHUMG00000131341
212672_at	ATM serine/threonine kinase	472	ENSG00000149311 /// OTTHUMG00000166480
212674_s_at	DEAH (Asp-Glu-Ala-His) box helicase 30	22907	ENSG00000132153 /// OTTHUMG00000133522
212692_s_at	LPS-responsive vesicle trafficking, beach and anchor containing	987	ENSG00000198589 /// OTTHUMG00000161443
212721_at	splicing regulatory glutamine/lysine-rich protein 1	140890	ENSG00000153914 /// OTTHUMG00000097809
212739_s_at	NME/NM23 nucleoside diphosphate kinase 4	4833	ENSG00000103202 /// OTTHUMG00000047995
212748_at	megakaryoblastic leukemia (translocation) 1	57591	ENSG00000196588 /// OTTHUMG00000151146
212764_at	zinc finger E-box binding homeobox 1	6935	ENSG00000148516 /// OTTHUMG00000017907
212849_at	axin 1	8312	ENSG00000103126 /// OTTHUMG00000064930
212871_at	mitogen-activated protein kinase-activated protein kinase 5	8550	ENSG00000089022 /// OTTHUMG00000169605
212884_x_at	apolipoprotein E	348	ENSG00000130203 /// OTTHUMG00000128901
212888_at	dicer 1, ribonuclease type III	23405	ENSG00000100697 /// OTTHUMG00000166134
212912_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2	6196	ENSG00000071242 /// OTTHUMG00000016007
212930_at	ATPase, Ca++ transporting, plasma membrane 1	490	ENSG00000070961 /// OTTHUMG00000169946
212933_x_at	ribosomal protein L13	6137	ENSG00000167526 /// OTTHUMG00000133770
212970_at	amyloid beta (A4) precursor protein-binding, family B, member 2	323	ENSG00000163697 /// OTTHUMG00000160416
212985_at	amyloid beta (A4) precursor protein-binding, family B, member 2	323	ENSG00000163697 /// OTTHUMG00000160416
212988_x_at	actin gamma 1	71	ENSG00000184009 /// OTTHUMG00000177955
213007_at	Fanconi anemia complementation group I	55215	ENSG00000140525 /// OTTHUMG00000132993
213008_at	Fanconi anemia complementation group I	55215	ENSG00000140525 /// OTTHUMG00000132993
213011_s_at	triosephosphate isomerase 1	7167	ENSG00000111669 /// OTTHUMG00000133767
213042_s_at	ATPase, Ca++ transporting, ubiquitous	489	ENSG00000074370 /// OTTHUMG00000177674
